source,target,weight
John Coltrane,André Jolivet,1
John Coltrane,София Асгатовна Губайдулина,1
John Coltrane,Heitor Villa‐Lobos,1
John Coltrane,Jean Françaix,1
John Coltrane,Karlheinz Stockhausen,1
John Coltrane,Сергей Сергеевич Прокофьев,1
John Coltrane,Игорь Фёдорович Стравинский,1
John Coltrane,Rino Vernizzi,1
John Coltrane,New Music Studium,1
John Coltrane,Antonio Plotino,1
John Coltrane,The Red Garland Quintet,1
John Coltrane,Hank Mobley,1
John Coltrane,Al Cohn,1
John Coltrane,Zoot Sims,1
John Coltrane,Don Cherry,1
John Coltrane,Thelonious Monk,1
John Coltrane,Paul Quinichette,1
John Coltrane,The Ray Draper Quintet,1
John Coltrane,Tommy Flanagan,1
John Coltrane,Kenny Burrell,1
John Coltrane,Idrees Sulieman,1
John Coltrane,Art Blakey Big Band,1
John Coltrane,The Art Blakey Quintet,1
John Coltrane,Duke Ellington,1
John Coltrane,Wilbur Harden,1
John Coltrane,Johnny Hartman,1
John Coltrane,Miles Davis,1
John Coltrane,Mal Waldron,1
John Coltrane,Jackie McLean,1
John Coltrane,Frank Wess,1
John Coltrane,Tadd Dameron,1
John Coltrane,Cannonball Adderley,1
John Coltrane,Milt Jackson,1
John Coltrane,Elmo Hope,1
John Coltrane,Donald Byrd,1
John Coltrane,Jimmy Heath,1
John Coltrane,Philly Joe Jones,1
John Coltrane,Lee Morgan,1
John Coltrane,Red Garland Trio,1
John Coltrane,Webster Young,1
John Coltrane,Bobby Jaspar,1
John Coltrane,Paul Chambers,1
John Coltrane,Art Taylor,1
John Coltrane,Alice Coltrane,1
John Coltrane,Charlie Parker,1
John Coltrane,Thelonious Monk Quartet,1
John Coltrane,Miles Davis Quintet,1
John Coltrane,Eric Dolphy,1
John Coltrane,Archie Shepp,1
John Coltrane,Paul Chambers Quartet,1
John Coltrane,Paul Chambers Sextet,1
John Coltrane,Johnny Griffin Sextet,1
John Coltrane,Sonny Clark Trio,1
John Coltrane,Miles Davis All Stars,1
John Coltrane,Miles Davis Sextet,1
John Coltrane,Pee Wee Russell,1
John Coltrane,The Modern Jazz Quartet,1
John Coltrane,Sonny Rollins,1
André Jolivet,София Асгатовна Губайдулина,1
André Jolivet,Heitor Villa‐Lobos,1
André Jolivet,Jean Françaix,1
André Jolivet,Karlheinz Stockhausen,1
André Jolivet,Сергей Сергеевич Прокофьев,1
André Jolivet,Игорь Фёдорович Стравинский,1
André Jolivet,Rino Vernizzi,1
André Jolivet,New Music Studium,1
André Jolivet,Antonio Plotino,1
София Асгатовна Губайдулина,Heitor Villa‐Lobos,1
София Асгатовна Губайдулина,Jean Françaix,1
София Асгатовна Губайдулина,Karlheinz Stockhausen,1
София Асгатовна Губайдулина,Сергей Сергеевич Прокофьев,1
София Асгатовна Губайдулина,Игорь Фёдорович Стравинский,1
София Асгатовна Губайдулина,Rino Vernizzi,1
София Асгатовна Губайдулина,New Music Studium,1
София Асгатовна Губайдулина,Antonio Plotino,1
Heitor Villa‐Lobos,Jean Françaix,1
Heitor Villa‐Lobos,Karlheinz Stockhausen,1
Heitor Villa‐Lobos,Сергей Сергеевич Прокофьев,1
Heitor Villa‐Lobos,Игорь Фёдорович Стравинский,1
Heitor Villa‐Lobos,Rino Vernizzi,1
Heitor Villa‐Lobos,New Music Studium,1
Heitor Villa‐Lobos,Antonio Plotino,1
Jean Françaix,Karlheinz Stockhausen,1
Jean Françaix,Сергей Сергеевич Прокофьев,1
Jean Françaix,Игорь Фёдорович Стравинский,1
Jean Françaix,Rino Vernizzi,1
Jean Françaix,New Music Studium,1
Jean Françaix,Antonio Plotino,1
Karlheinz Stockhausen,Сергей Сергеевич Прокофьев,1
Karlheinz Stockhausen,Игорь Фёдорович Стравинский,1
Karlheinz Stockhausen,Rino Vernizzi,1
Karlheinz Stockhausen,New Music Studium,1
Karlheinz Stockhausen,Antonio Plotino,1
Сергей Сергеевич Прокофьев,Игорь Фёдорович Стравинский,1
Сергей Сергеевич Прокофьев,Rino Vernizzi,1
Сергей Сергеевич Прокофьев,New Music Studium,1
Сергей Сергеевич Прокофьев,Antonio Plotino,1
Игорь Фёдорович Стравинский,Rino Vernizzi,1
Игорь Фёдорович Стравинский,New Music Studium,1
Игорь Фёдорович Стравинский,Antonio Plotino,1
Rino Vernizzi,New Music Studium,1
Rino Vernizzi,Antonio Plotino,1
New Music Studium,Antonio Plotino,1
The Red Garland Quintet,Donald Byrd,1
Hank Mobley,Al Cohn,1
Hank Mobley,Zoot Sims,1
Al Cohn,Zoot Sims,1
Thelonious Monk,Charlie Parker,1
Thelonious Monk,Miles Davis,1
Thelonious Monk,The Modern Jazz Quartet,1
Thelonious Monk,Sonny Rollins,1
Paul Quinichette,Mal Waldron,1
Paul Quinichette,Jackie McLean,1
Paul Quinichette,Frank Wess,1
Tommy Flanagan,Kenny Burrell,1
Tommy Flanagan,Idrees Sulieman,1
Kenny Burrell,Idrees Sulieman,1
Kenny Burrell,Webster Young,1
Kenny Burrell,Bobby Jaspar,1
Kenny Burrell,Mal Waldron,1
Kenny Burrell,Paul Chambers,1
Kenny Burrell,Art Taylor,1
Idrees Sulieman,Webster Young,1
Idrees Sulieman,Bobby Jaspar,1
Idrees Sulieman,Mal Waldron,1
Idrees Sulieman,Paul Chambers,1
Idrees Sulieman,Art Taylor,1
Art Blakey Big Band,The Art Blakey Quintet,1
Miles Davis,Charlie Parker,1
Miles Davis,Cannonball Adderley,1
Miles Davis,The Modern Jazz Quartet,1
Miles Davis,Sonny Rollins,1
Mal Waldron,Jackie McLean,1
Mal Waldron,Frank Wess,1
Mal Waldron,Webster Young,1
Mal Waldron,Bobby Jaspar,1
Mal Waldron,Paul Chambers,1
Mal Waldron,Art Taylor,1
Jackie McLean,Frank Wess,1
Cannonball Adderley,Miles Davis All Stars,1
Cannonball Adderley,Miles Davis Sextet,1
Cannonball Adderley,Thelonious Monk Quartet,1
Cannonball Adderley,Pee Wee Russell,1
Elmo Hope,Donald Byrd,1
Elmo Hope,Jimmy Heath,1
Elmo Hope,Philly Joe Jones,1
Donald Byrd,Jimmy Heath,1
Donald Byrd,Philly Joe Jones,1
Jimmy Heath,Philly Joe Jones,1
Webster Young,Bobby Jaspar,1
Webster Young,Paul Chambers,1
Webster Young,Art Taylor,1
Bobby Jaspar,Paul Chambers,1
Bobby Jaspar,Art Taylor,1
Paul Chambers,Art Taylor,1
Thelonious Monk Quartet,Miles Davis Sextet,1
Thelonious Monk Quartet,Pee Wee Russell,1
Paul Chambers Quartet,Paul Chambers Sextet,1
Paul Chambers Quartet,Johnny Griffin Sextet,1
Paul Chambers Quartet,Sonny Clark Trio,1
Paul Chambers Sextet,Johnny Griffin Sextet,1
Paul Chambers Sextet,Sonny Clark Trio,1
Johnny Griffin Sextet,Sonny Clark Trio,1
Miles Davis Sextet,Pee Wee Russell,1
The Modern Jazz Quartet,Sonny Rollins,1
