id,degree
John Coltrane,58
André Jolivet,10
София Асгатовна Губайдулина,10
Heitor Villa‐Lobos,10
Jean Françaix,10
Karlheinz Stockhausen,10
Сергей Сергеевич Прокофьев,10
Игорь Фёдорович Стравинский,10
Rino Vernizzi,10
New Music Studium,10
Antonio Plotino,10
The Red Garland Quintet,2
Hank Mobley,3
Al Cohn,3
Zoot Sims,3
Don Cherry,1
Thelonious Monk,5
Paul Quinichette,4
The Ray Draper Quintet,1
Tommy Flanagan,3
Kenny Burrell,8
Idrees Sulieman,8
Art Blakey Big Band,2
The Art Blakey Quintet,2
Duke Ellington,1
Wilbur Harden,1
Johnny Hartman,1
Miles Davis,6
Mal Waldron,10
Jackie McLean,4
Frank Wess,4
Tadd Dameron,1
Cannonball Adderley,6
Milt Jackson,1
Elmo Hope,4
Donald Byrd,5
Jimmy Heath,4
Philly Joe Jones,4
Lee Morgan,1
Red Garland Trio,1
Webster Young,7
Bobby Jaspar,7
Paul Chambers,7
Art Taylor,7
Alice Coltrane,1
Charlie Parker,3
Thelonious Monk Quartet,4
Miles Davis Quintet,1
Eric Dolphy,1
Archie Shepp,1
Paul Chambers Quartet,4
Paul Chambers Sextet,4
Johnny Griffin Sextet,4
Sonny Clark Trio,4
Miles Davis All Stars,2
Miles Davis Sextet,4
Pee Wee Russell,4
The Modern Jazz Quartet,4
Sonny Rollins,4
